SK_ID_BUREAU,MONTHS_BALANCE,STATUS
6558629,0,X
6558629,-1,X
6558629,-2,X
6558629,-3,X
6558629,-4,X
6558629,-5,X
6558629,-6,X
6558629,-7,X
6558629,-8,X
6558629,-9,X
6558629,-10,X
6558629,-11,X
6558629,-12,X
6558629,-13,X
6558629,-14,X
6558629,-15,X
6558629,-16,X
6558629,-17,X
6558629,-18,0
6558629,-19,0
6558629,-20,0
6558629,-21,0
6558629,-22,0
6558629,-23,0
6558629,-24,0
6558629,-25,0
6558629,-26,0
6558629,-27,0
6558629,-28,0
6558629,-29,0
6558629,-30,0
6558629,-31,0
6558629,-32,X
6558630,0,C
6558630,-1,C
6558630,-2,C
6558630,-3,C
6558630,-4,0
6558630,-5,0
6558630,-6,0
6558630,-7,0
6558630,-8,0
6558630,-9,0
5011316,0,0
5011316,-1,0
5011316,-2,0
5011316,-3,0
5011316,-4,0
5011316,-5,0
5011316,-6,0
5011316,-7,X
6579384,0,C
6579384,-1,C
6579384,-2,C
6579384,-3,C
6579384,-4,C
6579384,-5,C
6579384,-6,0
6579384,-7,X
6579385,0,C
6579385,-1,C
6579385,-2,C
6579385,-3,C
6579385,-4,C
6579385,-5,C
6579385,-6,C
6579385,-7,C
6579385,-8,C
6579385,-9,C
6579385,-10,C
6579385,-11,C
6579385,-12,C
6579385,-13,C
6579385,-14,C
6579385,-15,C
6579385,-16,C
6579385,-17,C
6579385,-18,C
6579385,-19,C
6579385,-20,C
6579385,-21,C
6579385,-22,C
6579385,-23,C
6579385,-24,C
6579385,-25,C
6579385,-26,0
6579385,-27,0
6579385,-28,0
6579385,-29,0
6579385,-30,0
6579385,-31,0
6579385,-32,0
6579385,-33,0
6579386,0,X
6579386,-1,X
6579386,-2,X
6579386,-3,X
6579386,-4,X
6579386,-5,X
6579386,-6,0
6579386,-7,X
6579386,-8,X
6579386,-9,0
6579386,-10,X
6579386,-11,X
6579386,-12,X
6579386,-13,0
6579386,-14,0
6579386,-15,X
6579386,-16,0
6579386,-17,X
6579386,-18,0
6579386,-19,0
6579386,-20,X
6579386,-21,0
6579387,0,C
6579387,-1,C
6579387,-2,C
6579387,-3,C
6579387,-4,C
6579387,-5,C
6579387,-6,C
6579387,-7,C
6579387,-8,C
6579387,-9,C
6579387,-10,C
6579387,-11,C
6579387,-12,C
6579387,-13,C
6579387,-14,C
6579387,-15,C
6579387,-16,C
6579387,-17,C
6579387,-18,0
6579387,-19,X
6579387,-20,0
6579387,-21,X
6579388,0,C
6579388,-1,C
6579388,-2,C
6579388,-3,C
6579388,-4,C
6579388,-5,C
6579388,-6,C
6579388,-7,C
6579388,-8,C
6579388,-9,C
6579388,-10,C
6579388,-11,C
6579388,-12,C
6579388,-13,C
6579388,-14,C
6579388,-15,C
6579388,-16,C
6579388,-17,C
6579388,-18,0
6579388,-19,0
6579388,-20,X
6579388,-21,0
6579388,-22,0
6579388,-23,0
6579388,-24,X
6579389,0,X
6579389,-1,X
6579389,-2,X
6579389,-3,X
6579389,-4,X
6579389,-5,0
6579389,-6,X
6579389,-7,0
6579389,-8,0
6579389,-9,X
6579389,-10,X
6579389,-11,X
6579390,0,X
6579390,-1,0
6579390,-2,0
6579390,-3,0
6579390,-4,0
6579390,-5,0
6579390,-6,0
6579390,-7,X
6579391,0,0
6579391,-1,0
6579391,-2,0
6579391,-3,0
6579391,-4,1
6579391,-5,0
6579391,-6,0
6579391,-7,X
6579391,-8,0
6579391,-9,0
6579391,-10,X
6579391,-11,X
6579391,-12,X
6579391,-13,0
6579391,-14,0
6579391,-15,X
6579391,-16,0
6579391,-17,X
6579392,0,C
6579392,-1,C
6579392,-2,C
6579392,-3,C
6579392,-4,C
6579392,-5,C
6579392,-6,C
6579392,-7,C
6579392,-8,C
6579392,-9,C
6579392,-10,C
6579392,-11,C
6579392,-12,C
6579392,-13,C
6579392,-14,C
6579392,-15,C
6579392,-16,C
6579392,-17,C
6579392,-18,C
6579392,-19,1
6579392,-20,1
6579392,-21,1
6579392,-22,1
6579392,-23,0
6579392,-24,0
6579392,-25,0
6579392,-26,0
6579392,-27,0
6579392,-28,0
6579392,-29,1
6579392,-30,0
6579392,-31,1
6579392,-32,0
6579392,-33,0
6579392,-34,0
6579392,-35,0
6579392,-36,0
6579392,-37,0
6579392,-38,0
6579392,-39,0
6579392,-40,0
6579392,-41,0
6579392,-42,0
6579392,-43,0
6579392,-44,0
6579392,-45,0
6579393,0,X
6579393,-1,X
6579393,-2,X
6579393,-3,X
6579393,-4,0
6579394,0,C
6579394,-1,C
6579394,-2,C
6579394,-3,C
6579394,-4,C
6579394,-5,C
6579394,-6,C
6579394,-7,C
6579394,-8,C
6579394,-9,C
6579394,-10,C
6579394,-11,C
6579394,-12,C
6579394,-13,C
6579394,-14,C
6579394,-15,C
6579394,-16,0
6579394,-17,0
5574795,0,C
5574795,-1,C
5574795,-2,C
5574795,-3,C
5574795,-4,C
5574795,-5,C
5574795,-6,C
5574795,-7,C
5574795,-8,C
5574795,-9,C
5574795,-10,C
5574795,-11,C
5574795,-12,C
5574795,-13,C
5574795,-14,C
5574795,-15,C
5574795,-16,C
5574795,-17,C
5574795,-18,C
5574795,-19,C
5574795,-20,C
5574795,-21,C
5574795,-22,C
5574795,-23,C
5574795,-24,C
5574795,-25,C
5574795,-26,C
5574795,-27,C
5574795,-28,C
5574795,-29,C
5574795,-30,C
5574795,-31,C
5574795,-32,C
5574795,-33,C
5574795,-34,C
5574795,-35,C
5574795,-36,C
5574795,-37,C
5574795,-38,C
5574795,-39,C
5574795,-40,C
5574795,-41,C
5574795,-42,C
5574795,-43,C
5574795,-44,C
5574795,-45,C
5574795,-46,C
5574795,-47,C
5574795,-48,C
5574795,-49,C
5574795,-50,C
5574795,-51,C
5574795,-52,C
5574795,-53,C
5574795,-54,C
5574795,-55,C
5574795,-56,0
5574795,-57,0
5574795,-58,0
5574795,-59,0
5574795,-60,0
5574795,-61,0
5574795,-62,0
5574795,-63,0
5574795,-64,0
5574795,-65,0
5574795,-66,0
5011046,0,X
5011046,-1,X
5011046,-2,X
5011046,-3,X
5011046,-4,X
5011046,-5,X
5011046,-6,X
5011046,-7,X
5011046,-8,X
5011046,-9,X
5011046,-10,X
5011046,-11,X
5011046,-12,X
5011046,-13,X
5011046,-14,X
5011046,-15,X
5011046,-16,X
5011046,-17,X
5011046,-18,X
5011046,-19,X
5011046,-20,X
5011046,-21,X
5011046,-22,X
5011046,-23,X
5011046,-24,X
5011046,-25,X
5011046,-26,X
5011046,-27,X
5011046,-28,X
5011046,-29,X
5011046,-30,X
5011046,-31,X
5925621,0,C
5925621,-1,C
5925621,-2,C
5925621,-3,C
5925621,-4,C
5925621,-5,C
5925621,-6,C
5925621,-7,C
5925621,-8,C
5925621,-9,C
5925621,-10,C
5925621,-11,C
5925621,-12,C
5925621,-13,C
5925621,-14,C
5925621,-15,C
5925621,-16,C
5925621,-17,C
5925621,-18,C
5925621,-19,C
5925621,-20,C
5925621,-21,C
5925621,-22,C
5925621,-23,C
5925621,-24,C
5925621,-25,C
5925621,-26,C
5925621,-27,C
5925621,-28,C
5925621,-29,C
5925621,-30,C
5925621,-31,C
5925621,-32,C
5925621,-33,C
5925621,-34,C
5925621,-35,C
5925621,-36,C
5925621,-37,C
5925621,-38,C
5925621,-39,C
5925621,-40,C
5925621,-41,C
5925621,-42,C
5925621,-43,C
5925621,-44,C
5925621,-45,C
5925621,-46,C
5925621,-47,C
5925621,-48,C
5925621,-49,C
5925621,-50,C
5925621,-51,C
5925621,-52,C
5925621,-53,C
5925621,-54,C
5925621,-55,C
5925621,-56,C
5925621,-57,C
5925621,-58,C
5925621,-59,C
5925621,-60,C
5925621,-61,C
5925621,-62,C
5925621,-63,C
5925621,-64,C
5925621,-65,C
5925621,-66,C
5925621,-67,C
5925621,-68,C
5925621,-69,C
5925621,-70,C
5925621,-71,C
5925621,-72,C
5925621,-73,C
5925621,-74,C
5925621,-75,C
5925621,-76,C
5925621,-77,C
5925621,-78,C
5925621,-79,C
5925621,-80,C
5925621,-81,C
5925621,-82,C
5925621,-83,C
5925621,-84,0
5925621,-85,0
5925621,-86,0
5925621,-87,0
5925621,-88,0
5925621,-89,0
6566456,-1,X
6566456,-2,X
6566456,-3,X
6566456,-4,X
6566456,-5,X
6566456,-6,X
6566456,-7,X
6566456,-8,X
6566456,-9,X
6566456,-10,X
6566456,-11,X
6566456,-12,X
6566456,-13,X
6566456,-14,X
6566456,-15,X
6566456,-16,X
6566456,-17,X
6566456,-18,X
6566456,-19,X
6566456,-20,X
6566456,-21,X
6566456,-22,X
6566456,-23,X
6566456,-24,X
6566456,-25,X
6566456,-26,X
6566456,-27,X
6566456,-28,X
6566456,-29,X
6566456,-30,X
6566456,-31,X
6566456,-32,X
6566457,0,C
6566457,-1,C
6566457,-2,C
6566457,-3,C
6566457,-4,0
6566457,-5,0
6566458,-1,C
6566458,-2,C
6566458,-3,C
6566458,-4,C
6566458,-5,C
6566458,-6,C
6566459,0,C
6566459,-1,C
6566459,-2,C
6566459,-3,C
6566459,-4,C
6566459,-5,C
6566459,-6,0
6566460,-1,C
6566460,-2,C
6566460,-3,C
6566460,-4,C
6566460,-5,C
6566460,-6,C
6566460,-7,C
6566461,0,C
6566461,-1,C
6566461,-2,C
6566461,-3,C
6566461,-4,C
6566461,-5,C
6566461,-6,C
6566461,-7,C
6566463,0,C
6566463,-1,C
6566463,-2,C
6566463,-3,C
6566463,-4,C
6566463,-5,C
6566463,-6,C
6566463,-7,C
6566463,-8,C
6566464,-1,C
6566464,-2,C
6566464,-3,C
6566464,-4,C
6566464,-5,C
6566464,-6,C
6566464,-7,C
6566464,-8,C
6566464,-9,C
6566464,-10,C
6566465,0,C
6566465,-1,C
6566465,-2,C
6566465,-3,C
6566465,-4,C
6566465,-5,C
6566465,-6,C
6566465,-7,C
6566465,-8,C
6566465,-9,C
6566465,-10,C
6566465,-11,C
6566465,-12,X
6566465,-13,0
6566465,-14,0
6566465,-15,0
6566465,-16,0
6566465,-17,0
6566465,-18,0
6566465,-19,0
6566465,-20,0
6566465,-21,0
6566465,-22,0
6566465,-23,0
6566465,-24,0
6566466,0,C
6566466,-1,C
6566466,-2,C
6566466,-3,C
6566466,-4,C
6566466,-5,C
6566466,-6,C
6566466,-7,C
6566466,-8,C
6566466,-9,C
6566466,-10,C
6566466,-11,C
6566466,-12,C
6566466,-13,C
6566466,-14,C
6566466,-15,C
6566466,-16,C
6566466,-17,C
6566466,-18,C
6566466,-19,C
6566466,-20,C
6566466,-21,C
6566466,-22,C
6566466,-23,0
6566466,-24,0
6566466,-25,0
6566466,-26,0
6566466,-27,0
6566466,-28,0
6566466,-29,X
6566467,-1,X
6566467,-2,0
6566467,-3,0
6566467,-4,0
6566467,-5,0
6566467,-6,0
6566467,-7,0
6566467,-8,0
6566467,-9,0
6566467,-10,0
6566467,-11,0
6566467,-12,0
6566467,-13,0
6566468,-1,C
6566468,-2,C
6566468,-3,C
6566468,-4,C
6566468,-5,C
6566468,-6,C
6566468,-7,C
6566468,-8,C
6566468,-9,C
6566468,-10,C
6566468,-11,C
6566468,-12,C
6566468,-13,C
6566468,-14,C
6566468,-15,C
6566468,-16,C
6566468,-17,C
6566468,-18,C
6566468,-19,C
6566468,-20,C
6566468,-21,C
6566468,-22,C
6566468,-23,C
6566468,-24,0
6566468,-25,0
6566468,-26,0
6566468,-27,1
6566468,-28,0
5815034,0,X
5815034,-1,X
5815034,-2,X
5815034,-3,X
5815034,-4,X
5815034,-5,X
5815034,-6,X
5815034,-7,X
5815034,-8,X
5815034,-9,X
5815034,-10,X
5815034,-11,X
5815034,-12,X
5815034,-13,X
5815034,-14,X
5815034,-15,X
5815034,-16,X
5815034,-17,X
5815034,-18,X
5815034,-19,X
5815034,-20,X
5815034,-21,X
5815034,-22,X
5815034,-23,X
5815034,-24,X
5815034,-25,X
5815034,-26,X
5815034,-27,X
5815034,-28,X
5815034,-29,X
5815034,-30,X
5815034,-31,X
5815034,-32,X
5815034,-33,X
5815034,-34,X
5815034,-35,X
5815034,-36,X
5815034,-37,X
5815034,-38,X
5815034,-39,X
5815034,-40,X
5815034,-41,X
5815034,-42,X
5815034,-43,X
5815034,-44,X
5815035,0,C
5815035,-1,C
5815035,-2,C
5815035,-3,C
5815035,-4,C
5815035,-5,C
5815035,-6,C
5815035,-7,C
5815035,-8,C
5815035,-9,C
5815035,-10,C
5815035,-11,C
5815035,-12,C
5815035,-13,C
5815035,-14,0
5815035,-15,0
5815035,-16,0
5815035,-17,0
5815035,-18,0
5815035,-19,0
5815035,-20,0
5815035,-21,0
5815035,-22,0
5815035,-23,0
5815035,-24,X
5815035,-25,X
5815036,0,C
5815036,-1,C
5815036,-2,C
5815036,-3,0
5815036,-4,0
5815036,-5,0
5815036,-6,0
5815036,-7,0
5815036,-8,0
5815036,-9,0
5815036,-10,0
5815036,-11,0
5815036,-12,0
5815036,-13,0
5815036,-14,0
5815036,-15,0
5815036,-16,0
5815036,-17,0
5815036,-18,0
5815036,-19,0
5815036,-20,0
5815036,-21,0
5815036,-22,0
5815036,-23,0
5815036,-24,0
5815036,-25,0
5815036,-26,0
5815037,0,C
5815037,-1,C
5815037,-2,C
5815037,-3,C
5815037,-4,C
5815037,-5,C
5815037,-6,C
5815037,-7,C
5815037,-8,C
5815037,-9,C
5815037,-10,C
5815037,-11,C
5815037,-12,C
5815037,-13,C
5815037,-14,C
5815037,-15,C
5815037,-16,C
5815037,-17,C
5815037,-18,C
5815037,-19,C
5815037,-20,C
5815037,-21,C
5815037,-22,C
5815037,-23,C
5815037,-24,C
5815037,-25,C
5815037,-26,C
5815037,-27,C
5815037,-28,C
5815037,-29,C
5815037,-30,C
5815037,-31,C
5815037,-32,C
5815037,-33,C
5815037,-34,C
5815037,-35,C
5815037,-36,C
5815037,-37,C
5815037,-38,C
5815037,-39,C
5815037,-40,C
5815037,-41,C
5815037,-42,0
5815037,-43,0
5815037,-44,0
5815037,-45,0
5815037,-46,0
5815037,-47,0
5815037,-48,0
5815037,-49,0
5815037,-50,0
5815037,-51,0
5230748,0,X
5230748,-1,X
5230748,-2,X
5230748,-3,X
5230748,-4,0
5230748,-5,0
5230748,-6,X
5230748,-7,0
5230748,-8,X
5230748,-9,X
5230748,-10,X
5230748,-11,X
5230748,-12,0
5230748,-13,X
5230748,-14,0
5230748,-15,X
5230748,-16,0
5230748,-17,X
5230748,-18,0
5230748,-19,0
5230748,-20,X
5230748,-21,X
5230748,-22,X
5230749,0,0
5789646,0,C
5789646,-1,C
5789646,-2,C
5789646,-3,C
5789646,-4,C
5789646,-5,C
5789646,-6,C
5789646,-7,C
5789646,-8,C
5789646,-9,C
5789646,-10,C
5789646,-11,C
5789646,-12,C
5789646,-13,C
5789646,-14,C
5789646,-15,C
5789646,-16,C
5789646,-17,C
5789646,-18,C
5789646,-19,C
5789646,-20,C
5789646,-21,C
5789646,-22,C
5789646,-23,C
5789646,-24,C
5789646,-25,C
5789646,-26,C
5789646,-27,C
5789646,-28,C
5789646,-29,C
5789646,-30,C
5789646,-31,C
5789646,-32,C
5789646,-33,C
5789646,-34,C
5789646,-35,C
5789646,-36,C
5789646,-37,C
5789646,-38,C
5789646,-39,C
5789646,-40,C
5789646,-41,C
5789646,-42,C
5789646,-43,C
5789646,-44,C
5789646,-45,C
5789646,-46,C
5789646,-47,C
5789646,-48,C
5789646,-49,C
5789646,-50,C
5789646,-51,C
5789646,-52,C
5789646,-53,C
5789646,-54,C
5789646,-55,C
5789646,-56,C
5789646,-57,C
5789646,-58,C
5789646,-59,0
5789646,-60,0
5789646,-61,0
5789646,-62,0
5789646,-63,0
5789646,-64,0
5789646,-65,0
5789646,-66,0
5789646,-67,0
5789646,-68,0
5789646,-69,0
5789646,-70,0
5789646,-71,0
5789646,-72,0
5789646,-73,0
5789646,-74,0
5790316,0,C
5790316,-1,C
5790316,-2,C
5790316,-3,C
5790316,-4,C
5790316,-5,C
5790316,-6,C
5790316,-7,C
5790316,-8,C
5790316,-9,C
5790316,-10,C
5790316,-11,C
5790316,-12,C
5790316,-13,C
5790316,-14,C
5790316,-15,C
5790316,-16,C
5790316,-17,C
5790316,-18,C
5790316,-19,C
5790316,-20,C
5790316,-21,C
5790316,-22,C
5790316,-23,C
5790316,-24,C
5790316,-25,C
5790316,-26,C
5790316,-27,C
5790316,-28,C
5790316,-29,C
5790316,-30,C
5790316,-31,C
5790316,-32,C
5790316,-33,C
5790316,-34,C
5790316,-35,C
5790316,-36,C
5790316,-37,C
5790316,-38,C
5790316,-39,C
5790316,-40,C
5790316,-41,C
5790316,-42,C
5790316,-43,C
5790316,-44,C
5790316,-45,C
5790316,-46,C
5790316,-47,C
5790316,-48,C
5790316,-49,C
5790316,-50,C
5790316,-51,C
5790316,-52,C
5790316,-53,C
5790316,-54,C
5790316,-55,C
5790316,-56,C
5790316,-57,C
5790316,-58,C
5790316,-59,C
5790316,-60,C
5790316,-61,C
5790316,-62,C
5790316,-63,C
5790316,-64,C
5790316,-65,C
5790316,-66,C
5790316,-67,C
5790316,-68,C
5790316,-69,C
5790316,-70,C
5790316,-71,C
5790316,-72,C
5790316,-73,C
5790316,-74,C
5790316,-75,C
5790316,-76,C
5790316,-77,C
5790316,-78,C
5790316,-79,C
5790316,-80,0
5790316,-81,0
5790316,-82,0
5790316,-83,0
5790316,-84,0
5790316,-85,0
