SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,AMT_BALANCE,AMT_CREDIT_LIMIT_ACTUAL,AMT_DRAWINGS_ATM_CURRENT,AMT_DRAWINGS_CURRENT,AMT_DRAWINGS_OTHER_CURRENT,AMT_DRAWINGS_POS_CURRENT,AMT_INST_MIN_REGULARITY,AMT_PAYMENT_CURRENT,AMT_PAYMENT_TOTAL_CURRENT,AMT_RECEIVABLE_PRINCIPAL,AMT_RECIVABLE,AMT_TOTAL_RECEIVABLE,CNT_DRAWINGS_ATM_CURRENT,CNT_DRAWINGS_CURRENT,CNT_DRAWINGS_OTHER_CURRENT,CNT_DRAWINGS_POS_CURRENT,CNT_INSTALMENT_MATURE_CUM,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
1772977,407315,-6,0.0,0,0.0,0.0,0.0,0.0,0.0,696.465,696.465,0.0,0.0,0.0,0.0,0,0.0,0.0,21.0,Active,0,0
2486766,271368,-51,0.0,67500,0.0,0.0,0.0,0.0,0.0,269.64,0.0,0.0,-269.64,-269.64,0.0,0,0.0,0.0,35.0,Active,0,0
1723246,409076,-5,0.0,180000,0.0,130394.295,0.0,130394.295,0.0,22670.415,22670.415,0.0,0.0,0.0,0.0,49,0.0,49.0,2.0,Active,0,0
1772977,407315,-4,0.0,0,0.0,0.0,0.0,0.0,0.0,696.465,696.465,0.0,0.0,0.0,0.0,0,0.0,0.0,21.0,Active,0,0
2486766,271368,-75,60955.785,67500,0.0,0.0,0.0,0.0,3375.0,6750.0,6750.0,58497.03,60955.785,60955.785,0.0,0,0.0,0.0,19.0,Active,0,0
2486766,271368,-70,54464.85,67500,0.0,0.0,0.0,0.0,3375.0,3375.0,3375.0,52069.86,54464.85,54464.85,0.0,0,0.0,0.0,24.0,Active,0,0
2356293,448125,-50,100247.985,112500,0.0,0.0,0.0,0.0,5625.0,0.0,0.0,93831.075,99741.915,99741.915,0.0,0,0.0,0.0,35.0,Active,1,1
2258089,280342,-45,0.0,135000,0.0,0.0,0.0,0.0,0.0,241.38,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,36.0,Active,0,0
2462391,299564,-46,0.0,315000,,0.0,,,,,0.0,0.0,0.0,0.0,,0,,,,Active,0,0
2258089,280342,-36,0.0,135000,0.0,0.0,0.0,0.0,0.0,241.38,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,36.0,Active,0,0
1489539,126707,-12,0.0,90000,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Active,0,0
2462391,299564,-18,0.0,45000,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0,,,0.0,Active,0,0
2486766,271368,-81,58833.54,67500,0.0,0.0,0.0,0.0,3375.0,6750.0,6750.0,56503.35,58833.54,58833.54,0.0,0,0.0,0.0,13.0,Active,0,0
2356293,448125,-74,85159.575,112500,0.0,0.0,0.0,0.0,5625.0,5625.0,5625.0,82123.155,84653.505,84653.505,0.0,0,0.0,0.0,11.0,Active,0,0
