SK_ID_PREV,SK_ID_CURR,NUM_INSTALMENT_VERSION,NUM_INSTALMENT_NUMBER,DAYS_INSTALMENT,DAYS_ENTRY_PAYMENT,AMT_INSTALMENT,AMT_PAYMENT
1915800,124316,1.0,6,-2369.0,-2396.0,4388.175,4388.175
2228785,126707,1.0,2,-257.0,-263.0,9417.285,9417.285
1242466,131286,0.0,1,-417.0,-428.0,7156.575,7156.575
1715334,126707,1.0,5,-1018.0,-1023.0,20319.705,20319.705
1915800,124316,1.0,8,-2309.0,-2327.0,4388.175,4388.175
2299815,178610,1.0,5,-1658.0,-1669.0,7685.505,7685.505
1242466,131286,0.0,25,-83.0,-86.0,8445.015,8445.015
1108566,124316,1.0,2,-2005.0,-2061.0,3339.81,3339.81
2137045,106937,1.0,1,-648.0,-658.0,6546.375,6546.375
1715334,126707,1.0,1,-1138.0,-1159.0,20319.705,20319.705
1915800,124316,1.0,5,-2399.0,-2420.0,4388.175,4388.175
2819795,180741,1.0,2,-1324.0,-1337.0,10258.965,10258.965
1973769,126707,1.0,3,-695.0,-700.0,9193.185,9193.185
1242466,131286,0.0,10,-295.0,-296.0,9072.72,9072.72
1187845,109346,1.0,18,-1054.0,-1057.0,4708.53,4708.53
1843885,182501,1.0,4,-1299.0,-1308.0,18070.245,18070.245
1973769,126707,1.0,9,-515.0,-523.0,9193.185,9193.185
2299815,178610,1.0,9,-1538.0,-1550.0,7685.505,7685.505
1569218,131286,1.0,12,-1268.0,-1286.0,4168.35,4168.35
2299815,178610,1.0,20,-1208.0,-1217.0,7685.505,7685.505
1320350,178610,1.0,3,-1997.0,-2002.0,2962.71,2962.71
2543264,182501,1.0,3,-2720.0,-2724.0,43007.76,43007.76
2299815,178610,1.0,2,-1748.0,-1761.0,7685.505,7685.505
1233744,124316,1.0,7,-2624.0,-2628.0,11325.375,11325.375
1569218,131286,1.0,5,-1478.0,-1495.0,4175.505,4175.505
2299815,178610,1.0,12,-1448.0,-1461.0,7685.505,7685.505
1118765,125093,1.0,4,-755.0,-756.0,49626.0,49626.0
2228785,126707,1.0,3,-227.0,-231.0,9417.285,9417.285
2543264,182501,1.0,2,-2750.0,-2757.0,43007.76,43007.76
2819795,180741,1.0,6,-1204.0,-1219.0,10258.965,10258.965
2228785,126707,1.0,7,-107.0,-110.0,9417.285,9417.285
1187845,109346,1.0,5,-1444.0,-1446.0,4769.1,4769.1
1392011,106937,1.0,1,-183.0,-213.0,2511.36,2511.36
1281172,131286,1.0,6,-61.0,-73.0,10495.755,10495.755
1915800,124316,1.0,7,-2339.0,-2375.0,4388.175,4388.175
1242466,131286,0.0,3,-387.0,-399.0,6963.975,6750.0
1489539,126707,0.0,5,-284.0,-284.0,0.9,0.9
1242466,131286,0.0,4,-396.0,-396.0,236.025,236.025
1242466,131286,0.0,30,-23.0,-23.0,162.09,162.09
1952479,126707,1.0,1,-380.0,-380.0,6835.995,6835.995
2088662,131421,1.0,4,-267.0,-267.0,9976.14,9976.14
2833013,124316,1.0,9,-1908.0,-1945.0,6194.07,6194.07
1242466,131286,0.0,16,-238.0,-238.0,3805.02,3805.02
2088662,131421,1.0,1,-357.0,-362.0,9976.14,9976.14
2299815,178610,1.0,10,-1508.0,-1531.0,7685.505,7685.505
1569218,131286,1.0,10,-1328.0,-1342.0,4175.505,4175.505
2120696,131421,1.0,6,-37.0,-68.0,8978.715,99.045
1489539,126707,0.0,2,-375.0,-375.0,0.9,0.9
1242466,131286,0.0,8,-326.0,-327.0,8511.3,8511.3
1242466,131286,0.0,26,-86.0,-86.0,554.985,554.985
1033353,109346,1.0,15,-631.0,-644.0,9588.915,9588.915
1033353,109346,1.0,13,-691.0,-739.0,9588.915,36.09
1033353,109346,1.0,13,-691.0,-689.0,9588.915,9552.825
1233744,124316,1.0,1,-2804.0,-2809.0,11325.375,11325.375
2833013,124316,1.0,8,-1938.0,-1970.0,6194.07,6194.07
1350928,154747,1.0,3,-662.0,-669.0,6461.1,6461.1
1490319,180741,1.0,4,-493.0,-495.0,12700.8,12700.8
1490319,180741,1.0,17,-103.0,-104.0,12700.8,12700.8
1281172,131286,1.0,4,-121.0,-128.0,10498.545,10498.545
1489539,126707,0.0,7,-222.0,-222.0,0.9,0.9
2833013,124316,1.0,3,-2088.0,-2129.0,6194.07,6194.07
1490319,180741,1.0,15,-163.0,-165.0,12700.8,12700.8
1973769,126707,2.0,10,-485.0,-502.0,73563.12,73563.12
1242466,131286,0.0,15,-234.0,-238.0,7894.98,7894.98
1387661,154747,1.0,14,-1336.0,-1339.0,12928.5,12928.5
1033353,109346,1.0,9,-811.0,-842.0,9588.915,456.75
1187845,109346,1.0,4,-1474.0,-1484.0,4769.1,4769.1
1569218,131286,1.0,3,-1538.0,-1554.0,4175.505,4175.505
2833013,124316,1.0,2,-2118.0,-2129.0,6194.07,6194.07
1118765,125093,2.0,8,-635.0,-637.0,919399.995,919399.995
1569423,126707,2.0,7,-384.0,-392.0,14293.71,14293.71
2088662,131421,1.0,2,-327.0,-328.0,9976.14,9976.14
1843885,182501,1.0,5,-1269.0,-1276.0,18070.245,18070.245
1489539,126707,0.0,4,-314.0,-314.0,0.9,0.9
1281172,131286,1.0,2,-181.0,-189.0,10498.545,10498.545
1108566,124316,1.0,6,-1885.0,-1945.0,3339.81,3339.81
1715334,126707,1.0,6,-988.0,-992.0,20319.705,20319.705
1392011,106937,1.0,5,-63.0,-63.0,2511.36,2511.36
1187845,109346,1.0,2,-1534.0,-1541.0,4769.1,4769.1
1242466,131286,0.0,21,-142.0,-141.0,8329.23,8329.23
1941370,106937,1.0,1,-124.0,-153.0,28890.0,55277.55
1941370,106937,2.0,1,-124.0,-153.0,26387.55,55277.55
1033353,109346,1.0,8,-841.0,-842.0,9588.915,9588.915
1108566,124316,1.0,5,-1915.0,-1970.0,3339.81,3339.81
1033353,109346,1.0,14,-661.0,-678.0,9588.915,9588.915
1569218,131286,1.0,9,-1358.0,-1372.0,4175.505,4175.505
1242466,131286,0.0,20,-173.0,-173.0,430.92,430.92
2228785,126707,1.0,5,-167.0,-171.0,9417.285,9417.285
2120696,131421,1.0,2,-157.0,-157.0,8978.715,8978.715
