SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
2728402,409076,-6,12.0,11.0,Active,0,0
2181914,208312,-40,18.0,17.0,Active,0,0
1693282,325817,-12,12.0,2.0,Active,0,0
1329235,279940,-12,48.0,48.0,Active,0,0
1043097,261500,-25,18.0,18.0,Active,0,0
1001554,396041,-18,24.0,23.0,Active,0,0
1147472,266499,-82,6.0,3.0,Active,0,0
1103999,317249,-5,2.0,0.0,Completed,0,0
2773494,280342,-65,8.0,4.0,Active,0,0
1029092,238850,-18,12.0,0.0,Completed,0,0
1000237,208312,-11,11.0,0.0,Completed,0,0
1118765,125093,-25,30.0,26.0,Active,0,0
2239289,407315,-41,18.0,17.0,Active,0,0
1543763,293971,-12,24.0,12.0,Active,0,0
1043097,261500,-12,18.0,5.0,Active,0,0
1543763,293971,-6,24.0,6.0,Active,0,0
2816721,208312,-5,36.0,30.0,Active,0,0
2228785,126707,-5,24.0,18.0,Active,0,0
1000237,208312,-12,12.0,2.0,Active,0,0
2639837,398163,-5,12.0,6.0,Active,0,0
1799505,283065,-22,6.0,2.0,Active,0,0
1060395,317249,-18,42.0,23.0,Active,0,0
1306722,126707,-17,24.0,24.0,Active,0,0
2639837,398163,-11,12.0,12.0,Active,0,0
2745251,398163,-2,36.0,33.0,Active,0,0
1029092,238850,-19,12.0,1.0,Active,0,0
2127332,396041,-3,12.0,9.0,Active,0,0
2457875,353814,-29,48.0,41.0,Active,0,0
1387661,154747,-45,14.0,1.0,Active,0,0
2713945,125093,-48,10.0,3.0,Active,0,0
2713945,125093,-47,10.0,2.0,Active,0,0
1315809,213818,-65,5.0,2.0,Active,0,0
1663899,208312,-6,24.0,3.0,Active,0,0
2639837,398163,-3,8.0,0.0,Completed,0,0
1569218,131286,-49,12.0,7.0,Active,0,0
1033353,109346,-20,18.0,2.0,Active,0,0
2457875,353814,-20,48.0,32.0,Active,0,0
1663899,208312,-13,24.0,10.0,Active,0,0
2378487,266499,-20,12.0,0.0,Completed,0,0
1362500,238850,-43,18.0,18.0,Signed,0,0
1607451,213240,-82,10.0,0.0,Completed,0,0
1485615,238850,-17,18.0,11.0,Active,0,0
1995429,317814,-82,12.0,3.0,Active,0,0
1033353,109346,-19,18.0,1.0,Active,0,0
1118765,125093,-28,30.0,29.0,Active,0,0
1970129,280342,-41,24.0,16.0,Active,0,0
1970129,280342,-43,24.0,18.0,Active,0,0
1456702,280342,-13,24.0,18.0,Active,0,0
2056361,264627,-72,12.0,2.0,Active,0,0
1538723,407315,-12,60.0,51.0,Active,0,0
1060395,317249,-19,42.0,24.0,Active,0,0
1693282,325817,-11,12.0,1.0,Active,0,0
1060395,317249,-25,42.0,30.0,Active,0,0
1043097,261500,-13,18.0,6.0,Active,0,0
1543763,293971,-4,24.0,4.0,Active,0,0
1543763,293971,-13,24.0,13.0,Active,0,0
1029092,238850,-28,12.0,10.0,Active,0,0
2378487,266499,-29,18.0,14.0,Active,0,0
2639837,398163,-4,12.0,5.0,Active,0,0
1060675,398163,-50,6.0,1.0,Active,0,0
2056361,264627,-74,12.0,4.0,Active,0,0
1970129,280342,-48,24.0,23.0,Active,0,0
2218173,299564,-20,2.0,0.0,Completed,0,0
2216325,407315,-48,18.0,1.0,Active,0,0
1973769,126707,-25,18.0,17.0,Active,0,0
1240172,344176,-18,12.0,10.0,Active,0,0
1060395,317249,-17,42.0,22.0,Active,0,0
1955771,317249,-5,12.0,12.0,Active,0,0
1060395,317249,-13,42.0,18.0,Active,0,0
1485615,238850,-19,18.0,13.0,Active,0,0
2366806,304977,-29,12.0,11.0,Active,0,0
2132600,208312,-80,18.0,18.0,Active,0,0
1926319,339954,-29,24.0,19.0,Active,0,0
1387661,154747,-49,14.0,5.0,Active,0,0
1607451,213240,-83,10.0,0.0,Active,1,1
2029260,213493,-30,6.0,6.0,Active,0,0
1147472,266499,-85,6.0,6.0,Active,0,0
1663899,208312,-14,24.0,11.0,Active,0,0
2617457,213818,-28,10.0,10.0,Active,0,0
2535347,170148,-20,12.0,12.0,Active,0,0
1033353,109346,-29,18.0,11.0,Active,0,0
1108566,124316,-66,9.0,7.0,Active,0,0
1439813,402376,-3,12.0,3.0,Active,0,0
2816721,208312,-3,36.0,28.0,Active,0,0
1068708,238850,-3,12.0,2.0,Active,0,0
2164553,299564,-41,2.0,0.0,Completed,0,0
2646516,293971,-58,10.0,2.0,Active,0,0
2374601,295711,-2,12.0,9.0,Active,0,0
1569218,131286,-43,12.0,1.0,Active,0,0
1752409,320940,-47,24.0,20.0,Active,0,0
2457875,353814,-12,48.0,24.0,Active,0,0
2048722,131286,-18,6.0,6.0,Active,0,0
1663899,208312,-17,24.0,14.0,Active,0,0
