SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
2119868,154747,Consumer loans,3330.135,16195.5,16195.5,0.0,16195.5,WEDNESDAY,17,Y,1,0.0,,,XAP,Approved,-38,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Stone,120,Consumer electronics,6.0,high,POS household with interest,365243.0,365243.0,154.0,365243.0,365243.0,0.0
2364012,131286,Cash loans,39461.445,612000.0,660469.5,,612000.0,SATURDAY,11,Y,1,,,,XNA,Approved,-289,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,24.0,middle,Cash X-Sell: middle,,,,,,
2197430,170148,Cash loans,15083.64,148500.0,222966.0,,148500.0,WEDNESDAY,14,Y,1,,,,Urgent needs,Refused,-548,Cash through the bank,HC,,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36.0,high,Cash Street: high,,,,,,
1312239,407315,Consumer loans,6038.415,33255.0,30177.0,4500.0,33255.0,WEDNESDAY,8,Y,1,0.1413302503362196,,,XAP,Approved,-2425,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Stone,60,Consumer electronics,6.0,high,POS household with interest,365243.0,-2394.0,-2244.0,-2304.0,-2302.0,0.0
1095389,279940,Cash loans,,0.0,0.0,,,SATURDAY,13,Y,1,,,,XNA,Canceled,-229,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2205689,208312,Cash loans,,0.0,0.0,,,TUESDAY,13,Y,1,,,,XNA,Canceled,-317,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2296818,170148,Cash loans,,0.0,0.0,,,SATURDAY,12,Y,1,,,,XNA,Canceled,-524,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2532567,208312,Cash loans,32467.5,450000.0,450000.0,,450000.0,FRIDAY,10,Y,1,,,,XNA,Approved,-1658,Cash through the bank,XAP,"Spouse, partner",Repeater,XNA,Cash,x-sell,Credit and cash offices,0,XNA,18.0,middle,Cash X-Sell: middle,365243.0,-1628.0,-1118.0,-1408.0,-1404.0,0.0
1569218,131286,Consumer loans,4175.505,32849.73,32490.0,3284.73,32849.73,WEDNESDAY,13,Y,1,0.0999971091834426,,,XAP,Approved,-1629,Cash through the bank,XAP,"Spouse, partner",New,Mobile,POS,XNA,Country-wide,2850,Consumer electronics,12.0,high,POS household with interest,365243.0,-1598.0,-1268.0,-1268.0,-1261.0,0.0
1653718,402376,Cash loans,,0.0,0.0,,,TUESDAY,13,Y,1,,,,XNA,Canceled,-393,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,0,XNA,,XNA,Cash,,,,,,
2356293,448125,Revolving loans,5625.0,0.0,112500.0,,,MONDAY,10,Y,1,,,,XAP,Approved,-2628,XNA,XAP,,Repeater,XNA,Cards,x-sell,Contact center,-1,XNA,0.0,XNA,Card Street,-2602.0,-2539.0,365243.0,-1139.0,365243.0,0.0
1949641,304977,Cash loans,20180.7,765000.0,765000.0,,765000.0,SATURDAY,10,Y,1,,,,XNA,Approved,-488,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,60.0,low_action,Cash X-Sell: low,365243.0,-458.0,1312.0,365243.0,365243.0,0.0
2510776,264627,Cash loans,53125.11,1800000.0,2013840.0,,1800000.0,THURSDAY,15,Y,1,,,,XNA,Refused,-1156,Cash through the bank,SCO,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60.0,low_action,Cash Street: low,,,,,,
1934475,264627,Cash loans,45205.605,1350000.0,1546020.0,,1350000.0,MONDAY,11,Y,1,,,,XNA,Refused,-1152,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,60.0,low_normal,Cash Street: low,,,,,,
2679374,131286,Cash loans,,0.0,0.0,,,SATURDAY,11,Y,1,,,,XNA,Canceled,-289,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,0,XNA,,XNA,Cash,,,,,,
1914311,170148,Cash loans,,0.0,0.0,,,WEDNESDAY,14,Y,1,,,,XNA,Canceled,-548,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1233744,124316,Consumer loans,11325.375,113265.0,101938.5,11326.5,113265.0,WEDNESDAY,12,Y,1,0.1089090909090909,,,XAP,Approved,-2836,Cash through the bank,XAP,Unaccompanied,New,Consumer Electronics,POS,XNA,Stone,405,Consumer electronics,10.0,low_normal,POS household without interest,365243.0,-2804.0,-2534.0,-2534.0,-2524.0,0.0
1136960,279940,Cash loans,,0.0,0.0,,,THURSDAY,15,Y,1,,,,XNA,Canceled,-196,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2734979,271368,Cash loans,,0.0,0.0,,,WEDNESDAY,8,Y,1,,,,XNA,Canceled,-348,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2745251,398163,Cash loans,25710.75,675000.0,675000.0,,675000.0,TUESDAY,15,Y,1,,,,XNA,Approved,-147,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,low_normal,Cash X-Sell: low,365243.0,-116.0,934.0,365243.0,365243.0,0.0
2714853,285282,Consumer loans,4526.19,49059.0,44149.5,4909.5,49059.0,THURSDAY,11,Y,1,0.1089890095228565,,,XAP,Approved,-777,XNA,XAP,,New,Construction Materials,POS,XNA,Stone,25,Construction,12.0,middle,POS industry with interest,365243.0,-742.0,-412.0,-592.0,-585.0,0.0
1886245,398163,Cash loans,,0.0,0.0,,,WEDNESDAY,15,Y,1,,,,XNA,Canceled,-244,XNA,XAP,,Repeater,XNA,XNA,XNA,Channel of corporate sales,-1,XNA,,XNA,Cash,,,,,,
1809431,339954,Cash loans,,0.0,0.0,,,THURSDAY,16,Y,1,,,,XNA,Canceled,-244,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1403094,131286,Revolving loans,,0.0,0.0,,,SUNDAY,13,Y,1,,,,XAP,Canceled,-463,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,0,XNA,,XNA,Card Street,,,,,,
1387661,154747,Consumer loans,12956.49,115330.14,128646.0,4.14,115330.14,SATURDAY,15,Y,1,3.504727133321707e-05,,,XAP,Approved,-1757,Cash through the bank,XAP,"Spouse, partner",New,Audio/Video,POS,XNA,Country-wide,180,Consumer electronics,14.0,high,POS household with interest,365243.0,-1726.0,-1336.0,-1336.0,-1329.0,0.0
2120696,131421,Consumer loans,8978.715,79200.0,79200.0,0.0,79200.0,MONDAY,10,Y,1,0.0,,,XAP,Approved,-219,XNA,XAP,,Repeater,Auto Accessories,POS,XNA,Stone,12,Auto technology,10.0,low_normal,POS other with interest,365243.0,-187.0,83.0,365243.0,365243.0,0.0
1664589,396041,Consumer loans,2216.925,21181.5,17986.5,4815.0,21181.5,SATURDAY,11,Y,1,0.2299836733229273,,,XAP,Approved,-2182,Cash through the bank,XAP,Unaccompanied,New,Mobile,POS,XNA,Country-wide,50,Connectivity,12.0,high,POS mobile with interest,365243.0,-2149.0,-1819.0,-1819.0,-1796.0,0.0
1252900,280342,Cash loans,,0.0,0.0,,,THURSDAY,16,Y,1,,,,XNA,Canceled,-575,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1440513,304977,Consumer loans,6709.545,124182.0,148770.0,0.0,124182.0,WEDNESDAY,13,Y,1,0.0,,,XAP,Approved,-1576,Cash through the bank,XAP,Children,New,Computers,POS,XNA,Country-wide,3000,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-1545.0,-855.0,-855.0,-850.0,0.0
2534958,126707,Revolving loans,,0.0,0.0,,,MONDAY,13,Y,1,,,,XAP,Canceled,-491,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
2228785,126707,Cash loans,9417.285,126000.0,142632.0,,126000.0,SUNDAY,14,Y,1,,,,XNA,Approved,-317,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24.0,middle,Cash X-Sell: middle,365243.0,-287.0,403.0,365243.0,365243.0,1.0
1772977,407315,Revolving loans,22500.0,0.0,450000.0,,,SUNDAY,9,Y,1,,,,XAP,Approved,-1294,XNA,XAP,,Repeater,XNA,Cards,x-sell,AP+ (Cash loan),5,XNA,0.0,XNA,Card X-Sell,-1260.0,-1222.0,365243.0,-613.0,365243.0,0.0
2250240,126707,Consumer loans,,220036.5,220036.5,,220036.5,TUESDAY,11,Y,1,,,,XAP,Unused offer,-1169,Cash through the bank,CLIENT,Family,New,Audio/Video,XNA,XNA,Country-wide,2078,Consumer electronics,,XNA,POS household with interest,,,,,,
2531066,317249,Cash loans,,0.0,0.0,,,THURSDAY,11,Y,1,,,,XNA,Canceled,-160,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2617457,213818,Consumer loans,10561.14,96106.5,96106.5,0.0,96106.5,SUNDAY,10,Y,1,0.0,,,XAP,Approved,-858,Cash through the bank,XAP,,Refreshed,Mobile,POS,XNA,Country-wide,20,Connectivity,10.0,low_normal,POS mobile without interest,365243.0,-815.0,-545.0,-545.0,-543.0,0.0
2415901,279940,Consumer loans,13716.675,147279.24,127242.0,31498.74,147279.24,SATURDAY,14,Y,1,0.2161070395779822,,,XAP,Approved,-2224,Cash through the bank,XAP,Family,New,Computers,POS,XNA,Country-wide,2500,Consumer electronics,12.0,middle,POS household with interest,365243.0,-2191.0,-1861.0,-1861.0,-1859.0,0.0
2046129,407315,Cash loans,14379.3,117000.0,117000.0,,117000.0,MONDAY,6,Y,1,,,,XNA,Approved,-2889,XNA,XAP,,Refreshed,XNA,Cash,x-sell,Country-wide,-1,Consumer electronics,10.0,middle,Cash Street: middle,365243.0,-2859.0,-2589.0,-2589.0,-2582.0,0.0
